システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,しっぽ,超音波,カラー
3314,1,0,0,8601,0,0,35
3319,1,-18,19,8601,0,0,35
3324,1,-18,19,8544,0,0,35
3329,1,-18,19,8547,0,0,35
3334,1,-18,19,8487,0,0,35
3339,1,-18,19,8460,0,0,35
3344,1,-14,23,8460,0,0,35
3349,1,-18,18,8450,0,0,35
3354,1,-18,18,8431,0,0,35
3359,1,-22,15,8431,0,0,35
3364,1,-17,19,8411,0,0,35
3369,1,-14,23,8412,0,0,35
3374,1,-18,18,8394,0,43,35
3379,1,-18,19,8375,0,43,35
3384,0,-15,22,8375,0,43,35
3389,-14,-27,9,8355,0,43,35
3394,-20,-31,5,8393,0,43,35
3399,-16,-26,10,8393,0,42,34
3404,-24,-39,-2,8384,0,42,34
3409,-22,-35,2,8383,0,42,34
3414,-14,-31,5,8383,0,42,34
3419,-9,-32,4,8374,0,43,34
3424,7,-26,10,8374,0,43,34
3429,23,-15,22,8364,0,43,35
3434,42,-5,31,8393,0,43,35
3439,54,1,38,8393,0,43,36
3444,51,4,41,8393,0,42,36
3449,48,2,40,8394,0,42,37
3454,40,6,43,8364,0,42,37
3459,33,0,38,8316,0,42,37
3464,23,-2,34,8316,0,42,37
3469,12,-3,33,8316,0,42,37
3474,-3,-12,25,8326,0,42,37
3479,-6,-11,26,8326,0,42,37
3484,-4,-11,25,8345,0,42,37
3489,-12,-13,23,8344,0,42,36
3494,-23,-22,15,8354,0,42,36
3499,-29,-24,13,8364,0,42,36
3504,-26,-25,11,8364,0,42,36
3509,-23,-22,14,8373,0,42,36
3514,-19,-19,17,8383,0,42,36
3519,2,-10,27,8383,0,42,36
3524,2,-7,29,8373,0,42,36
3529,5,-7,29,8375,0,42,36
3534,13,0,37,8345,0,42,36
3539,1,-8,29,8344,0,42,36
3544,-4,-5,31,8344,0,42,36
3549,-8,-7,30,8354,0,42,36
3554,-13,-13,24,8364,0,42,36
3559,-18,-11,25,8364,0,42,35
3564,-23,-18,18,8383,0,42,35
3569,-25,-20,17,8382,0,42,35
3574,-29,-18,18,8410,0,42,35
3579,-31,-17,19,8410,0,43,34
3584,-33,-24,13,8410,0,43,34
3589,-35,-26,10,8420,0,43,34
3594,-33,-26,10,8410,0,43,34
3599,-30,-26,11,8410,0,43,33
3604,-30,-23,14,8410,0,43,33
3609,-26,-26,11,8410,0,43,33
3614,-21,-27,10,8400,0,43,33
3619,-12,-21,15,8383,0,43,32
3624,-14,-18,19,8383,0,43,32
3629,-12,-20,16,8383,0,44,32
3634,-11,-23,14,8383,0,44,32
3639,-14,-24,13,8383,0,44,32
3644,-16,-28,9,8374,0,44,32
3649,-20,-32,4,8374,0,45,31
3654,-19,-34,2,8364,0,45,31
3659,-20,-37,0,8345,0,45,31
3664,-19,-38,0,8345,0,45,31
3669,-14,-36,0,8316,0,45,31
3674,-10,-35,1,8308,0,47,31
3679,-9,-39,-1,8308,0,47,31
3684,0,-37,0,8308,0,47,31
3689,9,-27,10,8309,0,47,31
3694,10,-33,4,8289,0,47,31
3699,16,-31,6,8325,0,48,31
3704,21,-29,8,8325,0,48,31
3709,20,-30,7,8325,0,48,32
3714,16,-32,4,8325,0,48,32
3719,23,-28,8,8325,0,48,32
3724,24,-31,5,8335,0,48,32
3729,14,-36,0,8334,0,48,32
3734,19,-36,0,8344,0,48,32
3739,21,-38,0,8334,0,48,33
3744,19,-40,-3,8334,0,48,33
3749,20,-38,0,8325,0,48,33
3754,27,-35,1,8325,0,48,33
3759,28,-36,1,8325,0,48,33
3764,27,-37,0,8335,0,48,34
3769,28,-33,4,8334,0,48,34
3774,30,-36,0,8344,0,48,34
3779,30,-32,4,8363,0,48,34
3784,27,-38,-1,8363,0,48,35
3789,27,-34,2,8373,0,48,35
3794,26,-35,2,8364,0,48,36
3799,27,-35,2,8364,0,48,36
3804,24,-40,-3,8373,0,48,36
3809,27,-34,2,8373,0,48,36
3814,24,-39,-2,8353,0,48,36
3819,30,-32,5,8373,0,48,37
3824,33,-33,3,8373,0,48,37
3829,29,-31,6,8383,0,48,37
3834,28,-35,2,8392,0,48,38
3839,31,-28,8,8392,0,48,38
3844,26,-35,2,8392,0,48,38
3849,26,-34,3,8392,0,48,39
3854,27,-33,4,8392,0,13,39
3859,28,-31,5,8393,0,13,39
3864,34,-27,9,8393,0,13,40
3869,35,-25,11,8392,0,13,40
3874,30,-27,9,8410,0,13,40
3879,28,-28,9,8410,0,13,41
3884,25,-29,8,8409,0,13,41
3889,22,-30,6,8410,0,13,41
3894,22,-30,7,8410,0,13,41
3899,27,-27,10,8410,0,14,42
3904,25,-27,9,8410,0,14,42
3909,33,-19,18,8410,0,14,43
3914,29,-21,16,8410,0,14,43
3919,22,-25,12,8410,0,18,43
3924,20,-26,10,8410,0,18,43
3929,26,-19,17,8410,0,18,44
3934,16,-29,7,8400,0,18,44
3939,20,-20,17,8400,0,15,44
3944,20,-21,15,8400,0,15,44
3949,16,-24,12,8392,0,15,45
3954,16,-25,11,8393,0,15,45
3959,23,-15,22,8393,0,15,45
3964,11,-23,13,8383,0,15,45
3969,11,-18,19,8383,0,15,45
3974,12,-20,17,8373,0,15,45
3979,7,-21,15,8364,0,15,45
3984,4,-22,14,8364,0,15,45
3989,4,-22,15,8373,0,15,45
3994,3,-18,18,8373,0,15,46
3999,2,-19,17,8373,0,15,46
4004,3,-22,14,8373,0,15,46
4009,3,-18,18,8373,0,15,46
4014,2,-16,21,8373,0,15,46
4019,1,-17,19,8373,0,15,46
4024,-1,-16,21,8373,0,15,45
4029,-1,-17,19,8373,0,15,45
4034,-4,-17,20,8373,0,15,45
4039,-9,-22,15,8373,0,15,45
4044,-11,-17,19,8373,0,15,45
4049,-12,-21,16,8373,0,18,46
4054,-8,-18,19,8383,0,18,45
4059,-9,-21,16,8383,0,18,45
4064,-8,-15,21,8383,0,18,45
4069,-6,-17,19,8383,0,18,44
4074,-5,-12,24,8383,0,18,44
4079,-2,-14,23,8383,0,18,44
4084,-6,-15,21,8383,0,18,44
4089,-10,-13,23,8383,0,18,44
4094,-11,-18,18,8383,0,18,44
4099,-14,-20,17,8393,0,18,44
4104,-16,-21,16,8393,0,18,44
4109,-16,-21,15,8383,0,18,44
4114,-15,-17,19,8392,0,92,44
4119,-10,-15,21,8392,0,92,44
4124,-11,-17,20,8393,0,92,43
4129,-10,-17,20,8393,0,92,43
4134,-11,-18,19,8393,0,92,42
4139,-10,-18,19,8383,0,92,42
4144,-10,-15,22,8383,0,92,42
4149,-13,-21,15,8383,0,92,41
4154,-12,-17,19,8383,0,92,41
4159,-13,-19,18,8383,0,92,41
4164,-14,-20,16,8383,0,92,41
4169,-15,-22,15,8383,0,92,41
4174,-13,-22,15,8383,0,92,41
4179,-12,-18,18,8383,0,92,41
4184,-10,-18,18,8383,0,92,41
4189,-5,-16,20,8383,0,92,41
4194,-2,-15,21,8383,0,92,41
4199,-6,-18,19,8383,0,92,41
4204,-7,-19,18,8383,0,92,40
4209,-9,-21,16,8383,0,92,40
4214,-12,-19,17,8383,0,92,40
4219,-11,-24,13,8373,0,91,40
4224,-12,-21,16,8373,0,91,40
4229,-11,-22,15,8373,0,91,40
4234,-10,-22,15,8383,0,91,40
4239,-10,-23,14,8383,0,91,40
4244,-9,-27,10,8373,0,90,40
4249,-4,-23,13,8373,0,90,40
4254,-1,-21,15,8363,0,90,40
4259,0,-20,16,8373,0,90,40
4264,-2,-21,15,8373,0,90,40
4269,-3,-22,15,8373,0,90,39
4274,-3,-22,15,8373,0,90,39
4279,-2,-21,16,8373,0,90,39
4284,-1,-20,16,8373,0,90,39
4289,-5,-23,14,8373,0,90,39
4294,-5,-23,14,8363,0,90,39
4299,-4,-22,14,8363,0,90,39
4304,1,-23,13,8363,0,90,39
4309,1,-19,18,8363,0,90,39
4314,2,-22,15,8373,0,90,39
4319,3,-20,16,8373,0,90,40
4324,6,-18,18,8363,0,90,40
4329,3,-19,17,8363,0,90,40
4334,1,-20,17,8373,0,90,39
4339,1,-20,17,8373,0,90,39
4344,-1,-24,12,8373,0,90,39
4349,-4,-25,11,8363,0,91,39
4354,1,-22,15,8363,0,91,39
4359,1,-21,15,8363,0,91,39
4364,2,-20,16,8363,0,91,39
4369,3,-19,17,8363,0,91,39
4374,3,-23,14,8373,0,91,39
4379,2,-19,18,8363,0,91,39
4384,2,-22,14,8363,0,91,39
4389,7,-19,18,8363,0,91,39
4394,8,-17,19,8363,0,91,40
4399,7,-17,20,8363,0,92,39
4404,5,-17,19,8373,0,92,40
4409,7,-16,21,8373,0,92,40
4414,8,-18,18,8363,0,92,40
4419,4,-20,17,8363,0,92,39
4424,1,-21,16,8363,0,92,40
4429,0,-21,16,8363,0,92,40
4434,0,-20,16,8363,0,92,40
4439,-2,-21,15,8363,0,92,40
4444,-2,-25,12,8373,0,92,40
4449,-1,-20,17,8373,0,92,40
4454,3,-21,15,8363,0,92,40
4459,5,-19,17,8373,0,92,40
4464,8,-17,20,8373,0,92,40
4469,6,-17,19,8373,0,92,40
4474,4,-18,19,8373,0,92,40
4479,4,-17,19,8373,0,92,40
4484,5,-20,16,8363,0,92,40
4489,2,-21,16,8363,0,92,40
4494,2,-20,16,8373,0,92,40
4499,2,-20,17,8363,0,92,40
4504,1,-20,17,8363,0,92,40
4509,3,-18,18,8363,0,92,40
4514,6,-20,17,8373,0,99,40
4519,7,-15,22,8373,0,99,40
4524,7,-18,19,8373,0,99,40
4529,11,-15,22,8373,0,99,40
4534,8,-15,21,8363,0,99,41
4539,4,-17,20,8373,0,170,40
4544,5,-20,17,8373,0,170,40
4549,6,-18,19,8373,0,170,41
4554,4,-18,18,8373,0,170,41
4559,-2,-21,16,8373,0,170,41
4564,-3,-21,15,8373,0,170,41
4569,0,-20,17,8373,0,170,41
4574,1,-19,18,8373,0,170,41
4579,3,-14,23,8373,0,170,41
4584,7,-16,21,8373,0,170,41
4589,11,-9,28,8373,0,170,41
4594,13,-11,25,8373,0,170,41
4599,14,-10,26,8373,0,171,41
4604,9,-12,24,8373,0,171,41
4609,5,-14,23,8373,0,171,41
4614,1,-16,20,8373,0,171,41
4619,0,-17,20,8373,0,171,41
4624,-4,-15,21,8373,0,171,41
4629,-5,-21,16,8383,0,173,41
4634,-5,-17,19,8383,0,173,41
4639,-6,-19,18,8383,0,173,41
4644,-2,-17,19,8382,0,173,41
4649,4,-14,22,8383,0,173,41
4654,11,-7,30,8373,0,173,41
4659,14,-5,31,8373,0,173,41
4664,12,-7,30,8373,0,173,41
4669,12,-7,30,8363,0,255,42
4674,6,-7,30,8363,0,255,42
4679,2,-13,23,8363,0,255,41
4684,-6,-15,22,8363,0,255,41
4689,-9,-18,19,8363,0,255,42
4694,-14,-18,18,8373,0,255,41
4699,-12,-16,21,8383,0,255,41
4704,-12,-22,15,8383,0,255,41
4709,-11,-19,18,8383,0,255,41
4714,-4,-13,24,8383,0,255,41
4719,-1,-13,24,8383,0,255,41
4724,4,-11,25,8383,0,255,41
4729,10,-5,31,8383,0,255,41
4734,7,-8,29,8383,0,255,41
4739,7,-9,28,8363,0,255,42
4744,8,-5,31,8363,0,255,42
4749,7,-3,33,8363,0,255,41
4754,-1,-9,27,8353,0,255,41
4759,-3,-9,28,8353,0,255,41
4764,-7,-13,23,8363,0,255,41
4769,-13,-15,21,8363,0,255,41
4774,-13,-14,22,8373,0,255,40
4779,-11,-16,20,8382,0,255,40
4784,-12,-15,21,8382,0,255,40
4789,-11,-17,19,8382,0,255,40
4794,-8,-11,26,8382,0,255,40
4799,-9,-14,22,8382,0,255,40
4804,-7,-16,21,8373,0,255,41
4809,-3,-12,25,8373,0,255,41
4814,-3,-14,23,8373,0,255,40
4819,-2,-11,25,8363,0,255,40
4824,-2,-10,27,8363,0,255,40
4829,-3,-13,24,8373,0,255,40
4834,-4,-12,25,8363,0,255,39
4839,-2,-9,27,8363,0,255,39
4844,-2,-12,25,8363,0,255,39
4849,-5,-12,24,8363,0,255,39
4854,-10,-14,23,8363,0,255,39
4859,-10,-17,20,8363,0,255,39
4864,-7,-14,23,8363,0,255,39
4869,-8,-14,23,8363,0,255,39
4874,-8,-16,20,8363,0,255,39
4879,-5,-17,19,8363,0,255,38
4884,-8,-17,20,8373,0,255,38
4889,-7,-15,21,8373,0,255,38
4894,-3,-12,25,8363,0,255,38
4899,-3,-14,22,8363,0,255,38
4904,-4,-17,19,8363,0,255,38
4909,0,-17,20,8373,0,255,38
4914,-3,-12,24,8373,0,255,39
4919,-4,-15,21,8373,0,255,39
4924,-3,-13,23,8373,0,255,38
4929,-5,-17,20,8373,0,255,38
4934,-7,-20,17,8373,0,255,38
4939,-5,-17,20,8373,0,255,38
4944,-3,-14,22,8373,0,255,38
4949,-7,-19,18,8373,0,255,38
4954,-3,-19,18,8373,0,255,38
4959,-1,-15,21,8373,0,255,38
4964,-1,-17,19,8373,0,255,38
4969,-1,-19,18,8373,0,255,38
4974,1,-15,21,8373,0,255,38
4979,0,-14,23,8373,0,255,38
4984,-1,-16,20,8373,0,255,38
4989,-2,-18,18,8363,0,255,38
4994,-4,-17,19,8373,0,255,38
4999,-1,-18,19,8373,0,255,38
5004,-4,-21,16,8373,0,255,38
5009,0,-20,17,8373,0,255,38
5014,3,-15,21,8373,0,255,38
5019,2,-14,23,8373,0,255,38
5024,4,-18,19,8373,0,255,38
5029,6,-14,23,8363,0,255,38
5034,1,-21,15,8373,0,255,38
5039,4,-13,24,8373,0,255,38
5044,6,-17,20,8373,0,255,38
5049,2,-16,21,8373,0,255,38
5054,0,-18,18,8363,0,255,38
5059,2,-18,18,8373,0,255,38
5064,-1,-17,20,8373,0,255,38
5069,-4,-20,16,8373,0,167,38
5074,4,-17,20,8373,0,167,38
5079,5,-17,19,8373,0,167,38
5084,3,-15,21,8373,0,167,39
5089,6,-15,22,8373,0,167,39
5094,9,-14,23,8373,0,167,39
5099,5,-16,20,8363,0,167,39
5104,4,-17,19,8363,0,167,39
5109,3,-19,18,8363,0,167,39
5114,0,-17,19,8363,0,167,38
5119,0,-18,18,8363,0,167,38
5124,2,-18,18,8373,0,167,38
5129,-2,-21,15,8373,0,165,38
5134,-7,-25,12,8363,0,165,38
5139,0,-22,15,8363,0,165,39
5144,3,-17,20,8363,0,165,39
5149,3,-17,19,8363,0,165,39
5154,9,-15,22,8363,0,165,39
5159,16,-11,26,8363,0,165,39
5164,12,-13,24,8363,0,165,39
5169,11,-13,23,8363,0,165,40
5174,9,-15,22,8363,0,165,39
5179,5,-17,20,8363,0,165,39
5184,0,-16,20,8363,0,117,39
5189,-3,-19,17,8363,0,117,39
5194,-4,-21,16,8373,0,117,39
5199,-6,-23,14,8373,0,117,39
5204,-5,-23,13,8373,0,117,39
5209,-2,-18,18,8373,0,117,39
5214,2,-17,19,8373,0,118,39
5219,5,-16,20,8373,0,118,40
5224,10,-14,23,8373,0,118,40
5229,12,-13,24,8373,0,118,40
5234,9,-14,22,8363,0,118,40
5239,7,-16,21,8363,0,89,40
5244,4,-14,23,8363,0,89,40
5249,2,-16,21,8363,0,89,40
5254,4,-15,21,8363,0,89,40
5259,6,-15,22,8373,0,89,40
5264,0,-19,18,8373,0,89,40
5269,-1,-20,17,8373,0,87,40
5274,2,-15,22,8363,0,87,40
5279,3,-15,21,8363,0,87,40
5284,3,-16,21,8363,0,87,40
5289,3,-17,20,8363,0,87,40
5294,4,-13,24,8373,0,88,41
5299,4,-17,19,8373,0,88,40
5304,1,-16,21,8373,0,88,40
5309,2,-16,21,8373,0,88,40
5314,2,-17,20,8373,0,88,40
5319,2,-17,19,8373,0,87,40
5324,3,-13,23,8373,0,87,40
5329,5,-10,27,8373,0,87,41
5334,4,-12,25,8373,0,87,41
5339,3,-13,23,8353,0,87,41
5344,3,-11,26,8353,0,88,41
5349,4,-12,25,8363,0,88,41
5354,3,-13,23,8363,0,88,41
5359,0,-16,21,8363,0,88,40
5364,-2,-14,22,8363,0,88,40
5369,-8,-19,17,8363,0,88,40
5374,-8,-21,16,8373,0,88,40
5379,-5,-17,20,8373,0,88,40
5384,-3,-17,19,8373,0,88,40
5389,2,-12,24,8363,0,88,40
5394,4,-13,24,8363,0,88,40
5399,5,-13,23,8363,0,88,41
5404,8,-8,28,8363,0,88,41
5409,5,-11,25,8363,0,88,41
5414,3,-14,23,8363,0,88,41
5419,1,-16,21,8363,0,88,41
5424,0,-13,23,8363,0,88,40
5429,-2,-12,24,8363,0,88,40
5434,-5,-16,20,8363,0,88,40
5439,-6,-15,22,8363,0,88,40
5444,1,-13,24,8363,0,88,40
5449,6,-12,25,8363,0,88,40
5454,5,-9,27,8363,0,88,40
5459,3,-8,28,8363,0,88,40
5464,1,-11,25,8363,0,88,41
5469,-1,-14,22,8353,0,88,41
5474,-3,-13,23,8363,0,88,40
5479,-6,-17,20,8363,0,88,40
5484,-7,-12,25,8363,0,88,40
5489,-6,-18,18,8363,0,88,40
5494,-4,-15,22,8353,0,88,39
5499,0,-15,22,8363,0,88,39
5504,-1,-13,24,8363,0,88,39
5509,0,-10,26,8363,0,88,40
5514,3,-15,22,8353,0,88,40
5519,2,-12,24,8353,0,88,40
5524,-1,-12,25,8363,0,88,40
5529,0,-13,23,8363,0,88,40
5534,-1,-12,25,8363,0,88,40
5539,-5,-13,24,8363,0,88,39
5544,-4,-15,22,8363,0,88,39
5549,-3,-16,20,8353,0,88,39
5554,-6,-16,21,8363,0,88,39
5559,-5,-14,23,8363,0,88,39
5564,1,-9,27,8363,0,88,39
5569,-1,-13,24,8363,0,88,39
5574,-1,-15,22,8353,0,88,39
5579,0,-16,21,8353,0,74,39
5584,-1,-10,26,8353,0,74,39
5589,-2,-13,23,8353,0,74,39
5594,0,-14,22,8353,0,74,39
5599,-1,-13,24,8353,0,74,39
5604,-4,-17,20,8363,0,74,38
5609,-2,-14,23,8363,0,74,38
5614,-2,-16,21,8363,0,74,38
5619,-3,-14,22,8363,0,74,38
5624,-3,-16,20,8363,0,74,38
5629,-1,-13,23,8353,0,73,39
5634,0,-15,22,8363,0,73,38
5639,-2,-14,23,8363,0,73,38
5644,-6,-15,22,8363,0,73,38
5649,-4,-16,20,8363,0,73,39
5654,-6,-19,17,8353,0,73,38
5659,-6,-21,16,8363,0,73,38
5664,-3,-17,19,8363,0,73,38
5669,-2,-15,22,8363,0,73,38
5674,0,-16,21,8363,0,73,38
5679,2,-16,21,8363,0,73,38
5684,3,-13,24,8353,0,73,38
5689,5,-13,23,8353,0,73,38
5694,2,-13,24,8363,0,73,38
5699,3,-14,23,8363,0,73,38
5704,-1,-17,19,8363,0,73,38
5709,-3,-20,17,8363,0,73,38
5714,-5,-19,18,8363,0,73,38
5719,-5,-17,20,8363,0,73,38
5724,-5,-19,18,8363,0,73,38
5729,-5,-17,20,8363,0,73,38
5734,-1,-17,20,8363,0,73,38
5739,1,-17,19,8363,0,73,38
5744,0,-15,21,8363,0,73,38
5749,1,-20,16,8372,0,73,38
5754,1,-17,19,8372,0,73,38
5759,1,-18,18,8372,0,73,38
5764,1,-19,17,8372,0,73,38
5769,3,-15,21,8373,0,73,38
5774,4,-16,21,8373,0,73,38
5779,3,-17,19,8373,0,73,38
5784,0,-16,20,8373,0,73,38
5789,0,-21,15,8372,0,73,38
5794,0,-18,18,8372,0,73,38
5799,-1,-16,20,8372,0,73,38
5804,0,-21,16,8373,0,73,39
5809,2,-13,23,8373,0,73,39
5814,1,-19,17,8373,0,72,39
5819,5,-14,23,8372,0,72,39
5824,5,-19,18,8372,0,72,39
5829,2,-17,20,8373,0,73,39
5834,3,-17,19,8373,0,73,39
5839,5,-13,23,8373,0,73,39
5844,2,-20,17,8372,0,73,38
5849,1,-17,19,8372,0,73,38
5854,0,-22,14,8372,0,72,38
5859,-3,-17,19,8372,0,72,38
5864,0,-21,16,8372,0,72,39
5869,3,-16,21,8372,0,72,39
5874,0,-22,14,8373,0,72,39
5879,3,-17,19,8373,0,72,39
5884,6,-16,20,8373,0,72,39
5889,3,-18,18,8372,0,72,39
5894,2,-19,17,8372,0,72,39
5899,3,-16,21,8372,0,72,39
5904,2,-21,16,8372,0,72,39
5909,1,-18,19,8373,0,72,39
5914,5,-20,16,8373,0,73,39
5919,5,-13,24,8373,0,73,39
5924,3,-19,18,8372,0,73,39
5929,-1,-18,19,8373,0,72,39
5934,-1,-23,14,8373,0,72,39
5939,-1,-19,17,8373,0,72,39
5944,-1,-24,13,8373,0,72,39
5949,2,-18,18,8373,0,72,39
5954,7,-16,20,8373,0,74,39
5959,7,-20,16,8373,0,74,39
5964,6,-16,20,8372,0,74,39
5969,5,-17,19,8372,0,74,39
5974,6,-17,20,8372,0,74,39
5979,3,-19,18,8372,0,73,39
5984,6,-17,19,8372,0,73,40
5989,5,-18,19,8372,0,73,40
5994,3,-15,21,8372,0,73,40
5999,1,-17,19,8372,0,73,40
6004,0,-19,18,8373,0,73,40
6009,-1,-20,16,8372,0,73,40
6014,1,-20,17,8372,0,73,40
6019,2,-19,17,8363,0,73,40
6024,3,-15,21,8363,0,73,39
6029,4,-19,17,8373,0,73,40
6034,3,-16,20,8372,0,73,39
6039,4,-16,20,8372,0,73,40
6044,4,-17,20,8373,0,73,40
6049,3,-18,19,8373,0,73,40
6054,4,-18,19,8373,0,74,40
6059,3,-18,18,8363,0,74,40
6064,3,-19,18,8363,0,74,40
6069,1,-20,17,8373,0,74,40
6074,1,-20,16,8363,0,74,40
6079,0,-21,16,8363,0,73,40
6084,-1,-22,15,8373,0,73,40
6089,0,-21,15,8373,0,73,39
6094,3,-20,17,8353,0,73,39
6099,5,-19,18,8363,0,73,40
6104,4,-19,17,8363,0,73,39
6109,8,-17,20,8353,0,73,40
6114,7,-13,23,8363,0,74,40
6119,5,-19,18,8363,0,74,40
6124,9,-12,24,8363,0,74,41
6129,10,-16,21,8363,0,74,41
6134,7,-13,23,8363,0,74,41
6139,2,-16,20,8353,0,74,41
6144,0,-18,18,8353,0,74,40
6149,-1,-19,17,8363,0,74,41
6154,-5,-22,14,8363,0,74,40
6159,1,-19,17,8363,0,74,40
6164,0,-20,16,8363,0,74,40
6169,0,-20,16,8363,0,74,40
6174,2,-19,17,8353,0,74,40
6179,4,-18,18,8353,0,74,40
6184,6,-13,23,8353,0,74,41
6189,6,-18,19,8353,0,74,40
6194,7,-13,23,8353,0,74,41
6199,5,-15,22,8353,0,74,41
6204,7,-14,23,8353,0,74,41
6209,7,-14,22,8353,0,74,41
6214,3,-16,20,8343,0,163,41
6219,1,-18,19,8343,0,163,41
6224,-1,-19,17,8343,0,163,40
6229,-2,-20,16,8353,0,163,40
6234,-3,-21,15,8343,0,163,40
6239,0,-16,20,8343,0,163,40
6244,2,-12,24,8353,0,164,40
6249,5,-16,21,8353,0,164,40
6254,5,-12,24,8353,0,164,40
6259,6,-16,20,8343,0,164,41
6264,5,-13,24,8343,0,164,41
6269,3,-15,22,8343,0,164,41
6274,3,-15,21,8333,0,164,41
6279,2,-16,20,8333,0,164,41
6284,1,-17,19,8343,0,164,41
6289,1,-18,19,8343,0,164,41
6294,1,-18,18,8343,0,164,41
6299,0,-19,18,8333,0,164,41
6304,1,-15,22,8333,0,164,41
6309,4,-14,22,8343,0,164,40
6314,7,-13,24,8333,0,164,41
6319,8,-9,28,8333,0,164,41
6324,6,-15,22,8334,0,164,41
6329,5,-12,25,8334,0,164,41
6334,4,-17,20,8334,0,164,41
6339,-1,-16,21,8334,0,164,41
6344,-3,-14,22,8334,0,164,41
6349,-5,-21,16,8334,0,164,41
6354,-4,-17,19,8324,0,164,41
6359,-5,-19,18,8324,0,164,41
6364,0,-17,19,8333,0,164,41
6369,0,-18,19,8334,0,164,41
6374,5,-15,21,8334,0,164,41
6379,7,-14,22,8334,0,164,41
6384,6,-11,25,8334,0,164,40
